"subj_id","rt","correct","present","easy"
4,1.95679999999888,1,1,0
4,1.65780000000075,1,1,1
4,1.98409999999963,1,-1,1
4,2.3335,1,1,1
4,1.88820000000112,1,-1,1
4,1.56220000000112,1,1,0
4,1.65580000000075,1,-1,0
4,1.69819999999925,1,-1,0
4,2.1875,1,1,0
4,1.82579999999888,1,-1,1
4,1.86530000000075,1,1,1
4,1.57740000000037,1,1,0
4,1.92959999999963,1,-1,1
4,1.60979999999888,1,1,1
4,2.08769999999926,1,-1,0
4,1.62090000000037,1,1,0
4,1.54519999999925,1,1,1
4,1.77759999999963,1,-1,1
4,1.62939999999851,1,-1,0
5,1.81500000000001,1,1,1
5,3.50300000000003,1,-1,0
5,2.203,1,-1,1
5,1.599,1,1,0
5,1.826,1,-1,0
5,2.098,1,-1,1
5,1.639,1,1,0
5,3.869,0,1,1
5,1.71000000000003,1,1,0
5,1.982,1,-1,1
5,2.962,1,-1,0
5,1.549,1,1,1
5,1.934,1,1,0
5,1.788,1,-1,0
5,1.816,1,-1,1
5,1.639,1,1,1
5,2.189,1,1,0
5,1.60600000000003,1,-1,0
5,1.85500000000003,1,-1,1
5,2.975,1,1,1
5,1.65400000000003,1,1,0
5,1.76899999999997,1,-1,1
5,1.779,1,-1,0
5,1.635,1,1,1
5,1.75299999999997,1,-1,1
5,1.68599999999994,0,1,0
5,1.689,1,-1,0
5,2.3,0,1,1
5,1.858,1,1,1
5,1.671,1,1,0
5,1.61000000000006,1,-1,1
5,1.931,1,-1,0
5,1.69400000000006,1,1,0
5,1.789,1,-1,0
5,1.88299999999994,1,-1,1
5,1.813,1,1,1
5,1.65499999999994,1,1,1
5,2.484,1,-1,0
5,2.10399999999994,1,-1,1
5,1.548,1,1,0
5,1.58100000000006,1,1,1
5,1.631,1,1,0
5,1.675,1,-1,0
5,1.76,1,-1,1
5,1.686,1,-1,0
5,2.27800000000006,1,1,1
5,1.62699999999994,1,-1,1
5,1.554,1,1,0
5,1.60000000000006,1,1,0
5,1.56,1,-1,0
5,1.80899999999994,1,1,1
5,1.528,1,-1,1
5,1.738,1,-1,0
5,2.006,1,-1,1
5,1.803,1,1,0
5,1.71000000000006,1,1,1
5,1.618,1,-1,1
5,1.827,1,-1,0
5,1.612,1,1,0
5,1.694,1,1,1
5,1.576,1,-1,0
5,1.76599999999994,1,-1,1
5,1.52800000000006,1,1,0
5,1.548,1,1,1
6,1.65129999999702,1,-1,1
6,2.39530000000074,0,1,1
6,1.80109999999776,1,-1,0
6,1.73010000000149,1,1,0
6,2.63170000000298,0,1,1
6,1.97110000000149,1,-1,1
6,2.06160000000149,1,-1,0
6,1.66290000000224,1,1,0
6,1.51130000000075,1,1,1
6,1.593,1,-1,0
6,2.001,1,1,0
6,1.85210000000149,1,-1,1
6,1.72580000000074,1,1,0
6,1.71530000000075,1,-1,1
6,2.01819999999926,1,-1,0
6,1.55130000000075,1,1,1
6,1.87159999999776,1,1,0
6,1.55590000000224,1,-1,0
6,1.66020000000298,1,-1,1
6,1.44380000000075,1,1,1
6,1.62910000000149,1,1,0
6,1.60770000000298,1,-1,1
6,1.66619999999925,1,-1,0
6,1.6535,1,1,1
6,1.5335,1,1,0
6,1.93919999999925,1,-1,0
6,1.66670000000298,1,-1,1
6,1.625,1,1,1
6,2.93119999999925,1,-1,1
6,1.712,1,1,0
6,1.52130000000075,1,1,1
6,1.67819999999925,1,-1,0
6,1.735,1,-1,1
6,1.32769999999925,1,1,0
6,1.53369999999925,1,1,1
6,1.54430000000074,1,-1,0
6,1.419,1,1,0
6,2.31840000000224,1,-1,0
6,1.36639999999851,1,1,1
6,1.51630000000075,1,-1,1
6,1.46160000000149,1,-1,0
6,1.55560000000149,1,1,1
6,1.439,1,1,0
6,1.53719999999925,1,-1,1
6,2.049,1,-1,0
6,1.60360000000149,1,-1,1
6,1.49719999999925,1,1,0
6,1.419,1,1,1
6,1.62919999999926,1,-1,1
6,1.40689999999851,1,1,0
6,1.87529999999702,1,-1,0
6,1.65069999999925,1,1,1
6,1.67429999999702,1,-1,1
6,1.38060000000149,1,1,0
6,1.40679999999702,1,1,1
6,1.51930000000075,1,-1,0
6,1.35059999999776,1,-1,1
6,1.46819999999925,1,-1,0
6,1.89990000000224,1,1,0
6,1.45509999999776,1,1,1
6,1.42859999999776,1,-1,1
6,1.488,1,-1,0
6,1.45730000000074,1,1,1
6,1.50869999999925,1,1,0
7,1.93770000004768,1,1,1
7,1.721,1,1,0
7,2.09929999995232,1,-1,1
7,1.86959999990463,1,-1,0
7,1.88289999997616,1,1,0
7,2.23889999997616,1,1,1
7,2.4305,1,-1,0
7,3.58489999997616,1,-1,1
7,1.95479999995232,1,1,1
7,2.27639999997616,1,1,0
7,2.41739999997616,1,-1,0
7,2.7155,1,-1,1
7,2.25470000004768,1,1,1
7,2.10379999995232,1,1,0
7,3.03989999997616,1,-1,1
7,2.21739999997616,1,-1,0
7,3.484,1,-1,1
7,1.93660000002384,1,1,0
