"subj_id","rt","confidence","correct","present","easy"
4,1.65719999999926,0.929166666666667,1,1,0
4,1.66089999999851,0.851388888888889,1,-1,0
4,1.50860000000149,1,1,-1,1
4,2.50029999999702,0.897222222222222,0,1,1
4,2.90490000000224,0.877777777777778,0,1,0
4,2.52640000000224,1,1,1,1
4,1.97610000000149,0.815277777777778,1,-1,0
4,1.41590000000224,1,1,1,0
4,1.33909999999776,1,1,-1,1
4,2.02720000000298,1,1,-1,0
4,2.08980000000075,1,1,-1,1
4,1.57930000000075,1,1,1,1
4,1.29910000000149,1,1,1,0
4,1.64319999999926,1,1,-1,1
4,2.43970000000298,0.865277777777778,1,-1,0
4,1.96280000000075,1,1,1,0
4,1.383,0.922222222222222,1,1,1
4,1.68410000000149,0.991666666666667,1,-1,0
4,2.33890000000224,1,1,-1,1
4,1.68770000000298,0.9375,1,1,1
4,2.35880000000075,1,0,1,0
5,2.09,0.6375,1,-1,1
5,3.253,0.6125,1,-1,0
5,1.722,0.6475,1,1,1
5,1.81100000000003,0.6775,1,1,0
5,1.80700000000003,0.675,1,-1,1
5,1.449,0.755,1,1,1
5,3.673,0.7925,0,1,0
5,1.704,0.575,1,-1,0
5,2.113,0.5175,1,1,0
5,1.794,0.5175,1,1,1
5,1.73,0.515,1,-1,0
5,2.17,0.515,1,-1,1
5,2.272,0.5475,1,-1,0
5,2.734,0.5475,1,1,0
5,1.76599999999997,0.6175,1,-1,1
5,1.848,0.6275,1,1,1
5,2.236,0.6625,1,-1,0
5,1.47699999999997,0.5125,1,1,1
5,1.863,0.565,1,-1,1
5,2.53100000000003,0.565,0,1,0
5,2.049,0.51,1,-1,0
5,3.122,0.505,0,1,0
5,2.356,0.615,1,-1,1
5,6.91,0.365,0,1,1
5,2.524,0.185,1,-1,1
5,4.653,0.0649999999999999,0,1,0
5,2.416,0.19,1,-1,0
5,2.524,0.25,1,1,1
5,3.391,0.0175,0,1,0
5,3.166,0.2425,1,1,1
5,1.837,0.26,1,-1,0
5,2.642,0.165,1,-1,1
5,1.612,0.7725,1,1,1
5,1.64100000000006,0.425,1,-1,0
5,1.802,0.3875,1,1,0
5,1.626,0.515,1,-1,1
5,4.186,0.025,1,-1,0
5,1.45,0.4225,1,1,0
5,1.373,0.6625,1,1,1
5,2.28,0.375,1,-1,1
5,3.268,0.255,1,-1,1
5,1.425,0.78,1,1,1
5,1.88200000000006,0.5075,1,1,0
5,2.148,0.2075,0,-1,0
5,2.393,0.33,1,1,0
5,2.366,0.5175,1,-1,1
5,1.501,0.775,1,1,1
5,1.779,0.305,1,-1,0
5,1.462,0.625,1,1,0
5,2.13900000000006,0.1125,1,-1,0
5,1.573,0.5175,1,-1,1
5,1.44,0.6325,1,1,1
5,1.633,0.38,1,-1,1
5,1.669,0.38,1,-1,0
5,1.61499999999994,0.38,1,1,0
5,1.351,0.6875,1,1,1
5,1.327,0.35,1,-1,1
5,1.505,0.3125,0,-1,0
5,1.38800000000006,0.57,1,1,1
5,1.577,0.525,1,1,0
5,2.07300000000006,0.525,1,-1,0
5,1.363,0.45,1,-1,1
5,3.00599999999994,0.29,0,1,0
5,1.478,0.29,1,1,1
6,1.63269999999925,0.805555555555556,1,-1,0
6,1.50520000000019,1,1,1,1
6,3.61719999999925,0.583333333333333,0,-1,1
6,1.62519999999926,0.9375,1,1,0
6,2.005,0.873611111111111,1,-1,0
6,1.95990000000037,0.870833333333333,1,-1,1
6,1.15460000000056,1,1,1,1
6,1.746,0.938888888888889,1,1,0
6,2.896,0.670833333333333,1,-1,0
6,1.55979999999981,0.990277777777778,1,-1,1
6,1.86859999999963,1,1,1,1
6,4.14909999999963,0.670833333333333,0,1,0
6,4.8505,0.776388888888889,0,1,0
6,2.40569999999925,0.851388888888889,1,1,1
6,1.58389999999944,0.748611111111111,1,-1,0
6,1.94609999999963,0.940277777777778,1,-1,1
6,1.56639999999944,0.911111111111111,1,-1,1
6,1.52540000000037,0.911111111111111,1,1,0
6,3.64609999999963,0.868055555555556,1,1,1
6,1.3795,0.943055555555556,1,-1,0
6,1.72020000000019,0.825,1,1,1
6,2.21219999999925,0.961111111111111,1,-1,0
6,2.651,1,1,-1,1
6,3.696,0.943055555555556,0,1,0
6,1.69709999999963,0.938888888888889,1,1,1
6,1.97129999999981,0.665277777777778,1,1,0
6,1.81020000000019,1,1,-1,1
6,2.09409999999963,1,1,-1,0
6,1.71240000000037,0.926388888888889,1,1,1
6,2.45539999999944,0.894444444444444,1,-1,0
6,1.83270000000019,1,1,-1,1
6,1.93440000000037,1,0,1,0
6,1.71659999999963,0.975,1,1,1
6,4.03720000000019,0.720833333333333,1,-1,0
6,3.27320000000019,0.847222222222222,1,-1,1
6,1.19710000000056,0.930555555555556,1,1,0
6,2.22260000000056,0.981944444444444,1,-1,1
6,3.465,0.870833333333333,1,-1,0
6,1.28359999999963,1,1,1,1
6,1.5685,1,1,1,0
6,3.36959999999963,0.969444444444444,1,-1,1
6,4.14930000000075,0.609722222222222,1,-1,0
6,1.5135,0.940277777777778,1,1,0
6,1.43370000000112,1,1,1,1
6,4.48059999999963,0.823611111111111,1,-1,0
6,1.27809999999963,0.994444444444444,1,1,0
6,1.33669999999926,1,1,1,1
6,1.42129999999888,0.973611111111111,1,-1,1
6,2.12979999999888,0.781944444444444,1,-1,0
6,4.853,0.781944444444444,1,1,1
6,2.773,0.872222222222222,1,-1,1
6,3.98870000000112,0.738888888888889,1,1,0
6,1.393,1,1,-1,0
6,1.42870000000112,0.915277777777778,1,1,1
6,2.55140000000037,0.980555555555556,1,1,0
6,2.72290000000037,0.816666666666667,0,-1,1
6,1.97059999999963,0.95,1,1,1
6,2.95909999999963,0.893055555555556,1,-1,1
6,3.27159999999963,0.594444444444444,0,1,0
6,2.07470000000112,0.743055555555556,1,-1,0
6,1.56880000000075,0.804166666666667,1,1,0
